city,data,weather,tem_higher,tem_lower
金山,6日（今天）,多云转阴,2,-5℃
金山,7日（明天）,阴转多云,3,-3℃
金山,8日（后天）,晴,2,-6℃
金山,9日（周二）,晴,1,-8℃
金山,10日（周三）,晴,0,-9℃
金山,11日（周四）,晴,1,-9℃
金山,12日（周五）,晴,3,-8℃
青浦,6日（今天）,多云转阴,2,-5℃
青浦,6日（今天）,多云转阴,2,-6℃
青浦,7日（明天）,阴转多云,3,-7℃
青浦,8日（后天）,晴,1,-9℃
青浦,9日（周二）,晴,-1,-11℃
青浦,10日（周三）,晴,0,-13℃
松江,7日（明天）,阴转多云,3,-4℃
松江,8日（后天）,晴,3,-7℃
松江,9日（周二）,晴,1,-8℃
松江,10日（周三）,晴,0,-8℃
松江,11日（周四）,晴,1,-8℃
松江,12日（周五）,晴,3,-7℃
松江,11日（周四）,晴,-1,-12℃
松江,12日（周五）,晴,2,-11℃
奉贤,6日（今天）,多云转阴,2,-5℃
奉贤,7日（明天）,阴转多云,3,-5℃
奉贤,8日（后天）,晴,3,-7℃
奉贤,9日（周二）,晴,1,-8℃
奉贤,6日（今天）,多云转阴,3,-5℃
奉贤,7日（明天）,阴转多云,3,-6℃
奉贤,8日（后天）,晴,2,-6℃
奉贤,9日（周二）,晴,1,-9℃
奉贤,6日（今天）,多云转阴,2,-6℃
奉贤,6日（今天）,多云转阴,2,-5℃
奉贤,7日（明天）,阴转多云,3,-4℃
崇明,10日（周三）,晴,0,-10℃
崇明,11日（周四）,晴,1,-10℃
崇明,12日（周五）,晴,3,-9℃
崇明,6日（今天）,多云转小雪,-1,-10℃
崇明,10日（周三）,晴,1,-9℃
崇明,11日（周四）,晴,0,-8℃
崇明,12日（周五）,晴,3,-7℃
崇明,7日（明天）,阴转多云,3,-3℃
崇明,8日（后天）,晴,3,-6℃
崇明,9日（周二）,晴,1,-8℃
崇明,10日（周三）,晴,1,-10℃
崇明,11日（周四）,晴,1,-9℃
崇明,12日（周五）,晴,4,-8℃
崇明,6日（今天）,多云转阴,2,-5℃
崇明,8日（后天）,晴,3,-5℃
崇明,9日（周二）,晴,1,-8℃
崇明,10日（周三）,晴,0,-9℃
崇明,11日（周四）,晴,1,-9℃
崇明,12日（周五）,晴,3,-8℃
崇明,6日（今天）,多云转阴,1,-7℃
崇明,7日（明天）,阴转多云,2,-4℃
崇明,8日（后天）,晴,2,-6℃
陈家,6日（今天）,多云转阴,2,-5℃
陈家,7日（明天）,阴转多云,4,-6℃
陈家,7日（明天）,阴转多云,1,-8℃
陈家,8日（后天）,晴,0,-8℃
陈家,9日（周二）,晴,-2,-12℃
陈家,10日（周三）,晴,-2,-14℃
陈家,11日（周四）,晴,0,-14℃
陈家,12日（周五）,晴,2,-13℃
陈家,6日（今天）,多云转阴,1,-6℃
陈家,7日（明天）,阴转多云,3,-5℃
陈家,8日（后天）,晴,3,-5℃
陈家,9日（周二）,晴,1,-7℃
陈家,10日（周三）,晴,0,-9℃
陈家,11日（周四）,晴,1,-9℃
陈家,12日（周五）,晴,3,-8℃
陈家,9日（周二）,晴,0,-8℃
陈家,10日（周三）,晴,0,-9℃
陈家,11日（周四）,晴,0,-8℃
陈家,12日（周五）,晴,3,-7℃
引水,6日（今天）,多云转阴,2,-6℃
引水,7日（明天）,阴转多云,3,-3℃
引水,8日（后天）,晴,3,-6℃
引水,8日（后天）,晴,2,-5℃
引水,9日（周二）,晴,1,-7℃
引水,10日（周三）,晴,1,-9℃
引水,11日（周四）,晴,1,-8℃
引水,12日（周五）,晴,2,-7℃
引水,6日（今天）,多云转阴,2,-8℃
引水,6日（今天）,多云转阴,2,-5℃
引水,7日（明天）,阴转多云,3,-5℃
引水,8日（后天）,晴,3,-5℃
引水,9日（周二）,晴,1,-7℃
引水,7日（明天）,阴转多云,3,-4℃
引水,8日（后天）,晴,2,-5℃
引水,9日（周二）,晴,1,-7℃
引水,10日（周三）,晴,0,-8℃
引水,11日（周四）,晴,1,-8℃
引水,12日（周五）,晴,3,-7℃
徐家,9日（周二）,晴,1,-8℃
徐家,10日（周三）,晴,1,-10℃
徐家,11日（周四）,晴,1,-9℃
徐家,12日（周五）,晴,4,-8℃
徐家,7日（明天）,阴转多云,3,-9℃
徐家,8日（后天）,晴,2,-9℃
徐家,9日（周二）,晴,0,-12℃
徐家,10日（周三）,晴,-1,-12℃
徐家,11日（周四）,晴,0,-12℃
徐家,12日（周五）,晴,3,-11℃
徐家,10日（周三）,晴,1,-8℃
徐家,11日（周四）,晴,2,-9℃
徐家,12日（周五）,晴,3,-8℃
徐家,6日（今天）,多云转阴,2,-7℃
徐家,7日（明天）,阴转多云,3,-6℃
徐家,6日（今天）,多云转阴,2,-5℃
徐家,7日（明天）,阴转多云,3,-4℃
徐家,6日（今天）,阴转小雨,9,3℃
浦东,6日（今天）,阴转小雨,9,3℃
浦东,8日（后天）,晴,2,-7℃
浦东,9日（周二）,晴,0,-11℃
浦东,10日（周三）,晴,-2,-12℃
浦东,11日（周四）,晴,0,-12℃
浦东,12日（周五）,晴,3,-11℃
浦东,8日（后天）,晴,3,-7℃
浦东,9日（周二）,晴,1,-8℃
浦东,10日（周三）,晴,0,-8℃
浦东,11日（周四）,晴,1,-8℃
浦东,12日（周五）,晴,3,-7℃
浦东,7日（明天）,小雨,11,3℃
浦东,8日（后天）,小雨转晴,5,1℃
浦东,9日（周二）,晴,4,0℃
浦东,10日（周三）,晴,5,0℃
浦东,11日（周四）,晴,5,0℃
浦东,12日（周五）,晴转多云,7,3℃
天津,7日（明天）,小雨,11,3℃
天津,8日（后天）,小雨转晴,5,1℃
天津,9日（周二）,晴,5,-1℃
天津,10日（周三）,晴,5,-2℃
天津,11日（周四）,晴,5,-1℃
天津,12日（周五）,晴转多云,7,1℃
天津,6日（今天）,阴转小雨,9,3℃
天津,7日（明天）,小雨,11,3℃
天津,8日（后天）,小雨转晴,5,1℃
天津,6日（今天）,阴转小雨,9,3℃
天津,7日（明天）,小雨,11,1℃
天津,8日（后天）,小雨转晴,4,0℃
天津,9日（周二）,晴,3,-1℃
天津,10日（周三）,晴,5,-3℃
天津,6日（今天）,阴转小雨,9,2℃
天津,7日（明天）,小雨,11,1℃
天津,8日（后天）,小雨转晴,4,0℃
武清,9日（周二）,晴,4,0℃
武清,10日（周三）,晴,5,0℃
武清,11日（周四）,晴,5,0℃
武清,12日（周五）,晴转多云,7,3℃
武清,11日（周四）,晴,5,-1℃
武清,12日（周五）,晴转多云,7,2℃
武清,9日（周二）,晴,3,-1℃
武清,10日（周三）,晴,5,-3℃
武清,11日（周四）,晴,5,-1℃
武清,12日（周五）,晴,7,2℃
武清,6日（今天）,阴转小雨,9,2℃
宝坻,6日（今天）,阴转小雨,10,3℃
宝坻,7日（明天）,小雨,10,2℃
宝坻,8日（后天）,小雨转晴,4,0℃
宝坻,9日（周二）,晴,4,-1℃
宝坻,10日（周三）,晴,3,-1℃
宝坻,11日（周四）,晴,3,-2℃
宝坻,12日（周五）,晴,6,0℃
东丽,6日（今天）,阴转小雨,9,3℃
东丽,7日（明天）,小雨,11,3℃
东丽,8日（后天）,小雨转晴,5,1℃
东丽,9日（周二）,晴,3,0℃
东丽,10日（周三）,晴,3,-3℃
东丽,11日（周四）,晴,3,-2℃
东丽,12日（周五）,晴,6,2℃
西青,7日（明天）,小雨,11,1℃
西青,8日（后天）,小雨转晴,5,0℃
西青,9日（周二）,晴,4,-1℃
西青,10日（周三）,晴,3,-4℃
西青,11日（周四）,晴,5,-3℃
西青,12日（周五）,晴,7,-1℃
西青,6日（今天）,阴转小雨,9,3℃
西青,7日（明天）,小雨,11,2℃
西青,8日（后天）,小雨转晴,6,1℃
北辰,6日（今天）,阴转小雨,9,3℃
北辰,7日（明天）,小雨,11,3℃
北辰,6日（今天）,阴转小雨,9,2℃
北辰,7日（明天）,小雨,11,2℃
北辰,8日（后天）,小雨转晴,4,1℃
北辰,6日（今天）,阴转小雨,9,3℃
北辰,7日（明天）,小雨,11,3℃
北辰,9日（周二）,晴,4,-1℃
北辰,10日（周三）,晴,4,-3℃
北辰,11日（周四）,晴,4,-1℃
北辰,12日（周五）,晴转多云,6,2℃
宁河,8日（后天）,小雨转晴,5,1℃
宁河,9日（周二）,晴,4,0℃
宁河,10日（周三）,晴,5,0℃
宁河,11日（周四）,晴,5,0℃
宁河,12日（周五）,晴转多云,7,3℃
宁河,9日（周二）,晴,3,0℃
宁河,10日（周三）,晴,3,-3℃
宁河,11日（周四）,晴,3,-2℃
宁河,12日（周五）,晴,7,0℃
宁河,8日（后天）,小雨转晴,5,1℃
宁河,9日（周二）,晴,4,-1℃
宁河,10日（周三）,晴,3,-1℃
宁河,11日（周四）,晴,4,-1℃
宁河,12日（周五）,晴转多云,6,0℃
汉沽,6日（今天）,阴转小雨,9,3℃
汉沽,6日（今天）,多云转阴,4,-4℃
静海,7日（明天）,小雨,11,3℃
静海,8日（后天）,小雨转晴,5,1℃
静海,9日（周二）,晴,4,0℃
静海,10日（周三）,晴,5,0℃
静海,11日（周四）,晴,5,0℃
